"ion","mzdiff","charge","neutral_loss_h2o","neutral_loss_nh3","neutral_loss","sim_cutoff"
"[M-3H]3-",-1.007276,-3,0,0,0,0
"[M-2H]2-",-1.007276,-2,0,0,0,0
"[M+Na-2H]-",20.974666,-1,0,0,0,0
"[M+Cl]-",34.969402,-1,0,0,0,0
"[M+K-2H]-",36.948606,-1,0,0,0,0
"[M+FA-H]-",44.998201,-1,0,0,0,0
"[M+Hac-H]-",59.013851,-1,0,0,0,0
"[M+Br]-",78.918885,-1,0,0,0,0
"[M+TFA-H]-",112.985586,-1,0,0,0,0
"[2M-H]-",-1.007276,-1,0,0,0,0.2
"[2M+FA-H]-",44.998201,-1,0,0,0,0.2
"[2M+Hac-H]-",59.013851,-1,0,0,0,0.2
"[3M-H]-",-1.007276,-1,0,0,0,0.2
"[M-H-H2O]-",18.01056,-1,0,0,1,0.2
"[M-H-NH3]-",17.03052,-1,0,0,1,0.2
"[M-H-NH3-H2O]-",35.04108,-1,0,0,1,0.2
"[M+1]-",1.0033,-1,0,0,0,0.75
"[M+NH3]+",17.03052,1,0,0,0,0.2
"[M+NH4]+",18.03382,1,0,0,0,0.2
"[M+Na]+",22.98921,1,0,0,0,0
"[M+H2O]+",18.01056,1,0,0,0,0.2
"[M+K]+",38.9632,1,0,0,0,0
"[M+2Na-H]+",44.97116,1,0,0,0,0
"[M+2K-H]+",76.91904,1,0,0,0,0
"[2M+H]+",1.007276,1,1,1,0,0.2
"[2M+NH4]+",18.033823,1,0,0,0,0.2
"[2M+Na]+",22.989218,1,0,0,0,0.2
"[2M+K]+",38.963158,1,0,0,0,0.2
"[3M+H]+",1.007276,1,1,1,0,0.2
"[2M+NH3]+",17.03052,1,0,0,0,0.2
"[M+2H]2+",1.007276,2,0,0,0,0
"[M+H+NH4]2+",9.52055,2,0,0,0,0
"[M+H+Na]2+",11.998247,2,0,0,0,0
"[M+H+K]2+",19.985217,2,0,0,0,0
"[M+2Na]2+",22.989218,2,0,0,0,0
"[M+3H]3+",1.007276,3,0,0,0,0
"[M+2H+Na]3+",8.33459,3,0,0,0,0
"[M+H+2Na]3+",15.7661904,3,0,0,0,0
"[M+3Na]3+",22.989218,3,0,0,0,0
"[M+H-H2O]+",18.01056,1,0,0,1,0.2
"[M+H-NH3]+",17.03052,1,0,0,1,0.2
"[M+H-NH3-H2O]+",35.04108,1,0,0,1,0.2
"[M+1]+",1.0033,1,0,0,0,0.75
